Escuela Ingreso,Licenciatura,Bioquimica Diagnostico Inicial,Intentos,Calificacion,Fecha,Bioquimica Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Final,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Inicial,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Final,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Inicial,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Final,Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Final",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Final",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Final",Intentos,Calificacion,Fecha
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,7,2025-08-13,,,,,Topicos de Salud I Diagnostico Inicial,1,2,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,4,2025-08-01,,,,,,,,,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,3,2025-08-01,,,,,,,,,,,,,,,,,,,,
fm-cu,otra,Bioquimica Diagnostico Inicial,1,6,2025-07-22,,,,,Topicos de Salud I Diagnostico Inicial,1,6,2025-07-22,,,,,Topicos de Salud II Diagnostico Inicial,1,5,2025-07-21,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-07-21,,,,,Biologia Celular Diagnostico Inicial,1,5,2025-07-22,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-07-22,,,,,"Matematicas, Diagnostico Inicial",1,4,2025-07-22,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,2025-07-22,,,,
fm-cu,com_medicina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,6,2025-08-01,,4,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Inicial,1,6,2025-08-01,,,,,Topicos de Salud I Diagnostico Inicial,1,2,2025-08-01,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-08-01,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-08-01,,,,,Biologia Celular Diagnostico Inicial,1,6,2025-08-01,,,,,"Lectura y Redacción, Diagnostico Inicial",1,2,2025-08-01,,,,,"Matematicas, Diagnostico Inicial",1,1,2025-08-01,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,2025-08-01,,,,
fm-cu,medico_cirujano,Bioquimica Diagnostico Final,1,3,2025-08-02,,2,10,2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
