Escuela Ingreso,Licenciatura,Bachillerato,Bioquimica Diagnostico Inicial,Intentos,Calificacion,Fecha,Bioquimica Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Final,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Inicial,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Final,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Inicial,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Final,Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Final",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Final",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Final",Intentos,Calificacion,Fecha
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,6,2025-03-03,,,,,Topicos de Salud I Diagnostico Inicial,1,8,2025-03-19,,,,,Topicos de Salud II Diagnostico Inicial,1,6,2025-03-19,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-03-19,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-03-19,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,5,2025-03-19,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,Topicos de Salud I Diagnostico Inicial,1,8,2025-03-04,,,,,,,,,,,,,Introducción a la Ética Diagnostico Inicial,1,9,2025-03-04,,,,,Biologia Celular Diagnostico Inicial,1,9,2025-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,4,2025-08-01,,,,,,,,,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,3,2025-08-01,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,9,2025-03-05,,,,,Topicos de Salud I Diagnostico Inicial,1,7,2025-03-05,,,,,Topicos de Salud II Diagnostico Inicial,1,8,2025-03-05,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-03-05,,,,,Biologia Celular Diagnostico Inicial,1,3,2025-03-05,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,2025-03-05,,,,,"Matematicas, Diagnostico Inicial",1,9,2025-03-05,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,2025-03-05,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,9,2025-03-05,,,,,Topicos de Salud I Diagnostico Inicial,1,7,2025-03-05,,,,,Topicos de Salud II Diagnostico Inicial,1,8,2025-03-05,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-03-05,,,,,Biologia Celular Diagnostico Inicial,1,3,2025-03-05,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,2025-03-05,,,,,"Matematicas, Diagnostico Inicial",1,9,2025-03-05,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,2025-03-05,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,5,2025-03-05,,,,,Topicos de Salud I Diagnostico Inicial,1,6,2025-03-05,,,,,Topicos de Salud II Diagnostico Inicial,1,8,2025-03-05,,,,,Introducción a la Ética Diagnostico Inicial,1,4,2025-03-05,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-03-05,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-03-05,,,,,"Matematicas, Diagnostico Inicial",1,5,2025-03-05,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-03-05,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-unam,Bioquimica Diagnostico Inicial,1,9,2025-03-05,,,,,Topicos de Salud I Diagnostico Inicial,1,7,2025-03-05,,,,,Topicos de Salud II Diagnostico Inicial,1,8,2025-03-05,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-03-05,,,,,Biologia Celular Diagnostico Inicial,1,3,2025-03-05,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,2025-03-05,,,,,"Matematicas, Diagnostico Inicial",1,9,2025-03-05,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,2025-03-05,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,otra,Bioquimica Diagnostico Inicial,1,5,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,cch,Bioquimica Diagnostico Inicial,1,5,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,2025-07-29,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,4,2025-08-01,,,,,,,,,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,3,2025-08-01,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Final,1,7,2025-03-25,,2,9,2025-03-28,Topicos de Salud I Diagnostico Inicial,1,8,2025-03-25,Topicos de Salud I Diagnostico Final,1,9,2025-03-29,Topicos de Salud II Diagnostico Inicial,1,8,2025-03-25,Topicos de Salud II Diagnostico Final,1,9,2025-03-29,Introducción a la Ética Diagnostico Inicial,1,8,2025-03-25,Introducción a la Ética Diagnostico Final,1,9,2025-03-29,Biologia Celular Diagnostico Inicial,1,8,2025-03-25,Biologia Celular Diagnostico Final,2,9,2025-03-29,"Lectura y Redacción, Diagnostico Inicial",1,10,2025-03-25,"Lectura y Redacción, Diagnostico Final",2,10,2025-03-29,"Matematicas, Diagnostico Inicial",1,10,2025-03-25,"Matematicas, Diagnostico Final",1,10,2025-03-29,"Estadistica en la investigación social, Diagnostico Inicial",1,8,2025-03-25,"Estadistica en la investigación social, Diagnostico Final",1,8,2025-03-29
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Inicial,1,4,2025-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,5,2025-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,6,2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,inc-sep,Bioquimica Diagnostico Inicial,1,5,2025-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,6,2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,colbach,,,,,,,,,Topicos de Salud I Diagnostico Inicial,1,8,2025-03-07,,,,,Topicos de Salud II Diagnostico Inicial,1,3,2025-03-07,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,9,2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,colbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Final,1,8,2025-03-07,,5,10,2025-03-08,Topicos de Salud I Diagnostico Inicial,1,10,2025-03-07,Topicos de Salud I Diagnostico Final,4,10,2025-03-08,Topicos de Salud II Diagnostico Inicial,1,9,2025-03-07,Topicos de Salud II Diagnostico Final,4,10,2025-03-08,Introducción a la Ética Diagnostico Inicial,1,6,2025-03-08,Introducción a la Ética Diagnostico Final,11,10,2025-03-08,Biologia Celular Diagnostico Inicial,1,7,2025-03-07,Biologia Celular Diagnostico Final,4,10,2025-03-08,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-03-08,"Lectura y Redacción, Diagnostico Final",3,10,2025-03-08,"Matematicas, Diagnostico Inicial",1,7,2025-03-08,"Matematicas, Diagnostico Final",4,10,2025-03-08,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-03-07,"Estadistica en la investigación social, Diagnostico Final",4,10,2025-03-08
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Final,1,8,2025-03-07,,5,10,2025-03-08,Topicos de Salud I Diagnostico Inicial,1,10,2025-03-07,Topicos de Salud I Diagnostico Final,4,10,2025-03-08,Topicos de Salud II Diagnostico Inicial,1,9,2025-03-07,Topicos de Salud II Diagnostico Final,4,10,2025-03-08,Introducción a la Ética Diagnostico Inicial,1,6,2025-03-08,Introducción a la Ética Diagnostico Final,11,10,2025-03-08,Biologia Celular Diagnostico Inicial,1,7,2025-03-07,Biologia Celular Diagnostico Final,4,10,2025-03-08,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-03-08,"Lectura y Redacción, Diagnostico Final",3,10,2025-03-08,"Matematicas, Diagnostico Inicial",1,7,2025-03-08,"Matematicas, Diagnostico Final",4,10,2025-03-08,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-03-07,"Estadistica en la investigación social, Diagnostico Final",4,10,2025-03-08
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Final,1,8,2025-03-07,,5,10,2025-03-08,Topicos de Salud I Diagnostico Inicial,1,10,2025-03-07,Topicos de Salud I Diagnostico Final,4,10,2025-03-08,Topicos de Salud II Diagnostico Inicial,1,9,2025-03-07,Topicos de Salud II Diagnostico Final,4,10,2025-03-08,Introducción a la Ética Diagnostico Inicial,1,6,2025-03-08,Introducción a la Ética Diagnostico Final,11,10,2025-03-08,Biologia Celular Diagnostico Inicial,1,7,2025-03-07,Biologia Celular Diagnostico Final,4,10,2025-03-08,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-03-08,"Lectura y Redacción, Diagnostico Final",3,10,2025-03-08,"Matematicas, Diagnostico Inicial",1,7,2025-03-08,"Matematicas, Diagnostico Final",4,10,2025-03-08,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-03-07,"Estadistica en la investigación social, Diagnostico Final",4,10,2025-03-08
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,fisioterapia,enp,Bioquimica Diagnostico Inicial,1,2,2025-03-08,,,,,Topicos de Salud I Diagnostico Inicial,1,3,2025-03-08,,,,,Topicos de Salud II Diagnostico Inicial,1,4,2025-03-08,,,,,Introducción a la Ética Diagnostico Inicial,1,5,2025-03-08,,,,,Biologia Celular Diagnostico Inicial,1,3,2025-03-08,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,2025-03-08,,,,,"Matematicas, Diagnostico Inicial",1,5,2025-03-08,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-03-08,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,4,2025-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,5,2025-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-unam,Bioquimica Diagnostico Final,1,8,2025-03-07,,5,10,2025-03-08,Topicos de Salud I Diagnostico Inicial,1,10,2025-03-07,Topicos de Salud I Diagnostico Final,4,10,2025-03-08,Topicos de Salud II Diagnostico Inicial,1,9,2025-03-07,Topicos de Salud II Diagnostico Final,4,10,2025-03-08,Introducción a la Ética Diagnostico Inicial,1,6,2025-03-08,Introducción a la Ética Diagnostico Final,11,10,2025-03-08,Biologia Celular Diagnostico Inicial,1,7,2025-03-07,Biologia Celular Diagnostico Final,4,10,2025-03-08,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-03-08,"Lectura y Redacción, Diagnostico Final",3,10,2025-03-08,"Matematicas, Diagnostico Inicial",1,7,2025-03-08,"Matematicas, Diagnostico Final",4,10,2025-03-08,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-03-07,"Estadistica en la investigación social, Diagnostico Final",4,10,2025-03-08
fm-cu,medico_cirujano,inc-unam,Bioquimica Diagnostico Final,1,8,2025-03-07,,5,10,2025-03-08,Topicos de Salud I Diagnostico Inicial,1,10,2025-03-07,Topicos de Salud I Diagnostico Final,4,10,2025-03-08,Topicos de Salud II Diagnostico Inicial,1,9,2025-03-07,Topicos de Salud II Diagnostico Final,4,10,2025-03-08,Introducción a la Ética Diagnostico Inicial,1,6,2025-03-08,Introducción a la Ética Diagnostico Final,11,10,2025-03-08,Biologia Celular Diagnostico Inicial,1,7,2025-03-07,Biologia Celular Diagnostico Final,4,10,2025-03-08,"Lectura y Redacción, Diagnostico Inicial",1,8,2025-03-08,"Lectura y Redacción, Diagnostico Final",3,10,2025-03-08,"Matematicas, Diagnostico Inicial",1,7,2025-03-08,"Matematicas, Diagnostico Final",4,10,2025-03-08,"Estadistica en la investigación social, Diagnostico Inicial",1,6,2025-03-07,"Estadistica en la investigación social, Diagnostico Final",4,10,2025-03-08
fm-cu,otra,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,4,2025-08-01,,,,,,,,,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,3,2025-08-01,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,2025-07-29,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,2025-07-29,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,4,2025-08-01,,,,,,,,,,,,,,,,,,,,,"Lectura y Redacción, Diagnostico Inicial",1,3,2025-08-01,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Final,1,4,2025-03-12,,3,10,2025-08-09,Topicos de Salud I Diagnostico Inicial,1,5,2025-03-12,,,,,Topicos de Salud II Diagnostico Inicial,1,4,2025-03-12,,,,,Introducción a la Ética Diagnostico Inicial,1,6,2025-03-12,,,,,Biologia Celular Diagnostico Inicial,1,7,2025-03-12,,,,,"Lectura y Redacción, Diagnostico Inicial",1,7,2025-03-12,,,,,"Matematicas, Diagnostico Inicial",1,10,2025-03-12,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,2025-03-12,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Inicial,1,6,2025-03-20,,,,,Topicos de Salud I Diagnostico Inicial,1,4,2025-03-20,,,,,Topicos de Salud II Diagnostico Inicial,1,7,2025-03-20,,,,,Introducción a la Ética Diagnostico Inicial,1,7,2025-03-20,,,,,Biologia Celular Diagnostico Inicial,1,5,2025-03-20,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-03-20,,,,,"Matematicas, Diagnostico Inicial",1,9,2025-03-20,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,2025-03-20,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,9,2025-03-17,,,,,Topicos de Salud I Diagnostico Inicial,1,9,2025-03-17,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,8,2025-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,Bioquimica Diagnostico Inicial,1,9,2025-03-15,,,,,Topicos de Salud I Diagnostico Inicial,1,6,2025-03-15,,,,,Topicos de Salud II Diagnostico Inicial,1,4,2025-03-15,,,,,Introducción a la Ética Diagnostico Inicial,1,9,2025-03-15,,,,,Biologia Celular Diagnostico Inicial,1,6,2025-03-15,,,,,,,,,,,,,"Matematicas, Diagnostico Inicial",1,8,2025-03-15,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,2025-03-15,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,fisioterapia,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-unam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,colbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-unam,Bioquimica Diagnostico Inicial,1,4,2025-03-14,,,,,Topicos de Salud I Diagnostico Inicial,1,7,2025-03-14,,,,,Topicos de Salud II Diagnostico Inicial,1,1,2025-03-14,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,5,2025-03-14,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-03-14,,,,,"Matematicas, Diagnostico Inicial",1,2,2025-03-14,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,4,2025-03-14,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,neurociencias,colbach,Bioquimica Diagnostico Inicial,1,6,2025-03-15,,,,,,,,,,,,,Topicos de Salud II Diagnostico Inicial,1,3,2025-03-15,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,3,2025-03-15,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,2025-03-15,,,,,"Matematicas, Diagnostico Inicial",1,10,2025-03-15,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,2025-03-15,,,,
fm-cu,com_medicina,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,9,2025-03-15,,,,,Topicos de Salud I Diagnostico Inicial,1,6,2025-03-15,,,,,Topicos de Salud II Diagnostico Inicial,1,4,2025-03-15,,,,,Introducción a la Ética Diagnostico Inicial,1,9,2025-03-15,,,,,Biologia Celular Diagnostico Inicial,1,6,2025-03-15,,,,,,,,,,,,,"Matematicas, Diagnostico Inicial",1,8,2025-03-15,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,2025-03-15,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
