Facultad,Licenciatura,Bachillerato,Bioquimica Diagnostico Inicial,Intentos,Calificacion,Fecha,Bioquimica Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud I Diagnostico Final,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Inicial,Intentos,Calificacion,Fecha,Topicos de Salud II Diagnostico Final,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Inicial,Intentos,Calificacion,Fecha,Introducción a la Ética Diagnostico Final,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Inicial,Intentos,Calificacion,Fecha,Biologia Celular Diagnostico Final,Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Lectura y Redacción, Diagnostico Final",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Matematicas, Diagnostico Final",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Inicial",Intentos,Calificacion,Fecha,"Estadistica en la investigación social, Diagnostico Final",Intentos,Calificacion,Fecha
fm-cu,medico_cirujano,cch,Bioquimica Diagnostico Inicial,1,6,3/3/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,8,3/19/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,6,3/19/2025,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,8,3/19/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,6,3/19/2025,,,,,,,,,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,5,3/19/2025,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,Topicos de Salud I Diagnostico Inicial,1,8,3/4/2025,,,,,,,,,,,,,Introducción a la Ética Diagnostico Inicial,1,9,3/4/2025,,,,,Biologia Celular Diagnostico Inicial,1,9,3/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,9,3/5/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,7,3/5/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,8,3/5/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,7,3/5/2025,,,,,Biologia Celular Diagnostico Inicial,1,3,3/5/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,3/5/2025,,,,,"Matematicas, Diagnostico Inicial",1,9,3/5/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,3/5/2025,,,,
fm-cu,medico_cirujano,otra,Bioquimica Diagnostico Inicial,1,9,3/5/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,7,3/5/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,8,3/5/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,7,3/5/2025,,,,,Biologia Celular Diagnostico Inicial,1,3,3/5/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,3/5/2025,,,,,"Matematicas, Diagnostico Inicial",1,9,3/5/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,3/5/2025,,,,
fm-cu,medico_cirujano,inc-sep,Bioquimica Diagnostico Inicial,1,5,3/5/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,6,3/5/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,8,3/5/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,4,3/5/2025,,,,,Biologia Celular Diagnostico Inicial,1,8,3/5/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,8,3/5/2025,,,,,"Matematicas, Diagnostico Inicial",1,5,3/5/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,7,3/5/2025,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,inc-unam,Bioquimica Diagnostico Inicial,1,9,3/5/2025,,,,,Topicos de Salud I Diagnostico Inicial,1,7,3/5/2025,,,,,Topicos de Salud II Diagnostico Inicial,1,8,3/5/2025,,,,,Introducción a la Ética Diagnostico Inicial,1,7,3/5/2025,,,,,Biologia Celular Diagnostico Inicial,1,3,3/5/2025,,,,,"Lectura y Redacción, Diagnostico Inicial",1,5,3/5/2025,,,,,"Matematicas, Diagnostico Inicial",1,9,3/5/2025,,,,,"Estadistica en la investigación social, Diagnostico Inicial",1,3,3/5/2025,,,,
fm-cu,medico_cirujano,inc-sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,cch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,3/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,com_medicina,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biologia Celular Diagnostico Inicial,1,7,3/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,enp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fm-cu,medico_cirujano,otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
